排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
524,6213,聯茂,270.5,2025,331,12.7,47.8,29.7,15.1,83.8,14.5,1.9,4.56,1.77,4.16,1.9,7.21,3.11,4.13,1.73,36
525,6791,虎門科技,135.0,2025,8.06,19.3,3.3,27.4,0.87,-0.01,41.0,2.62,11.0,-1.86,4.16,0.0,17.7,-0.84,10.3,-0.61,62
526,3388,崇越電,99.3,2025,73.6,-2.69,13,1.87,3.08,1.43,17.6,0.79,4.29,0.09,4.15,0.06,6.58,-0.24,4.69,-0.11,49
527,4205,中華食,77.4,2025,20.6,1.69,8.24,3.64,4.04,2.3,40.1,0.75,19.7,0.12,4.14,-0.31,18.3,-1.15,15.4,-0.77,81
528,4569,六方科-KY,194.5,2025,18.2,25.2,3.79,17.8,1.27,-48.4,20.8,-1.31,6.96,-9.92,4.13,-3.78,4.54,-4.53,3.7,-4.35,55
529,6955,邦睿生技-創,165.0,2025,3.06,37.4,2.39,36.3,1.03,49.9,77.9,-0.63,33.5,2.79,4.13,0.68,16.9,0.81,15.3,0.72,89
530,1419,新紡,64.0,2025,47.3,12.3,12.6,1.97,12.3,41.5,26.6,-2.69,26.0,5.37,4.11,1.21,7.45,1.38,5.27,0.93,53
531,9904,寶成,27.9,2025,"2,514",-4.71,581,-10.8,121,-24.7,23.1,-1.58,7.26,-1.62,4.1,-1.34,8.12,-2.83,5.16,-1.74,45
532,9938,百和,46.35,2025,158,2.05,55.6,-1.37,12.2,-13.8,35.3,-1.22,9.65,-0.69,4.1,-0.65,9.1,-1.41,4.55,-0.41,49
533,2891,中信金,53.1,2025,"2,449",29.3,,,806,11.9,,,33.6,-5.11,4.08,0.44,15.5,0.5,0.91,0.05,67
534,8936,國統,50.1,2025,63.1,20.3,16.4,22.1,10.1,21.0,26.0,0.39,17.2,-0.1,4.08,0.71,13.1,1.32,7.92,0.71,53
535,2937,集雅社,45.1,2025,52,11.9,11.5,6.97,1.77,15.6,22.1,-1.02,3.4,0.11,4.06,0.2,16.4,0.96,5.02,0.34,34
536,3188,鑫龍騰,26.65,2025,27,79.1,12.2,69.8,7.55,83.1,45.3,-2.48,28.0,0.6,4.05,1.84,24.8,9.68,7.59,2.31,61
537,5388,中磊,82.2,2025,540,-4.91,84.8,-15.9,12,-47.0,15.7,-2.05,2.22,-1.78,4.04,-3.7,7.43,-7.96,2.65,-2.41,34
538,7747,昕奇雲端,133.0,2025,15.7,9.7,2.32,0.8,1.03,7.68,14.8,-1.31,7.05,-0.14,4.04,-0.03,14.2,-6.7,9.89,-2.6,55
539,3013,晟銘電,111.0,2025,106,12.2,19.6,33.6,8.27,13.2,18.5,2.98,7.84,0.07,4.03,0.4,17.1,-1.81,9.03,-0.58,45
540,3694,海華,61.3,2025,114,23.4,16.7,24.2,6.15,47.5,14.6,0.09,5.39,0.88,4.03,1.28,17.4,4.28,9.15,2.08,49
541,8249,菱光,50.2,2025,37.2,-11.4,7.64,-11.0,4.3,18.9,20.5,0.09,11.5,2.94,4.03,0.76,6.2,-0.14,4.42,-0.01,53
542,8487,愛爾達-創,79.4,2025,10.2,-31.5,2.77,-28.9,1.07,-40.4,27.2,0.98,10.5,-1.56,4.03,-2.82,15.6,-13.4,10.5,-8.77,60
543,3628,盈正,71.3,2025,33.6,11.0,9.98,24.9,1.81,87.2,29.7,3.32,5.38,2.16,4.02,1.87,10.5,4.87,5.07,2.28,40
544,6165,浪凡,45.2,2025,32.2,13.0,9.48,40.5,3.08,288.0,29.5,5.77,9.83,7.02,4.02,2.98,20.7,13.9,11.2,7.54,62
545,6967,汎瑋材料,70.0,2025,14.2,5.45,3.71,21.6,0.99,26.4,26.2,3.49,6.98,1.16,4.02,0.65,11.9,1.68,7.99,1.33,53
546,3046,建碁,49.0,2025,75.1,8.17,6.33,25.0,3.15,4.77,8.42,1.13,4.17,-0.06,4.01,0.18,19.5,-0.28,9.19,-1.0,45
547,6469,大樹,81.2,2025,189,9.39,54.2,11.9,6,-11.8,28.7,0.63,3.08,-0.86,4.01,-1.15,15.2,-4.22,4.49,-1.45,47
548,6789,采鈺,430.0,2025,89.4,-10.6,22.1,-27.6,12.7,-26.7,24.7,-5.8,14.3,-3.13,4.01,-1.48,6.98,-3.04,5.41,-1.55,68
549,9914,美利達,60.9,2025,268,-9.71,39.6,-26.0,12,272.0,14.8,-3.25,4.55,7.13,4.01,6.35,6.07,9.73,3.34,5.37,38
550,1535,中宇,52.2,2025,114,4.67,10.7,6.36,4.95,-1.32,9.46,0.15,4.36,-0.26,4.0,-0.06,13.1,-0.46,6.87,-0.3,49
551,3105,穩懋,539.0,2025,166,-4.69,40.3,-0.39,16.9,121.0,24.2,1.04,6.55,4.6,4.0,2.19,2.69,1.77,1.74,1.23,49
552,6568,宏觀,225.0,2025,11.4,6.74,4.61,11.3,1.22,4.19,40.5,1.67,10.7,-0.26,4.0,0.15,8.1,-0.06,7.05,-0.14,68
553,2250,IKKA-KY,64.0,2025,33.9,-8.12,5.76,-20.2,1.39,-27.3,17.0,-2.57,3.65,-0.95,3.99,-2.18,6.58,-3.64,3.39,-1.2,45
554,2916,滿心,46.3,2025,19.6,1.98,10.6,1.57,2.56,3.16,54.0,-0.22,13.1,0.15,3.96,-0.23,15.8,-2.27,12.1,-1.32,60
555,6212,理銘,28.15,2025,16.9,-55.3,6.69,-34.8,4.04,-35.1,39.5,12.4,23.8,7.43,3.96,-2.13,10.9,-6.62,3.52,-1.46,49
556,6829,千附精密,197.0,2025,18.2,19.9,4.96,-7.15,2.34,-30.2,27.2,-7.92,12.8,-9.22,3.95,-1.71,11.9,-5.56,8.08,-5.38,50
557,2743,山富,72.9,2025,67.3,-1.62,8.3,-9.65,1.85,-29.1,12.3,-1.1,2.75,-1.07,3.94,-3.3,16.7,-10.3,6.21,-3.2,43
558,2756,聯發國際,70.0,2025,11.7,69.7,6.26,47.8,0.96,62.3,53.4,-7.9,8.18,-0.37,3.93,1.52,17.2,6.31,7.56,1.71,57
559,9945,潤泰新,24.65,2025,393,23.6,94.5,9.75,107,-35.2,24.1,-3.02,33.6,-29.0,3.93,-2.14,11.9,-6.72,6.77,-3.97,53
560,6655,科定,136.5,2025,26,3.86,13,-0.31,3.08,-20.4,49.9,-2.08,11.9,-3.49,3.92,-1.01,12.4,-3.53,3.6,-1.48,47
561,8103,瀚荃,93.1,2025,33.6,5.25,12.6,13.3,3.39,0.09,37.4,2.64,10.1,-0.5,3.92,-0.04,8.78,-0.89,5.88,-0.48,62
562,2420,新巨,55.1,2025,21.8,-2.6,10,-6.6,5.96,-10.5,45.9,-1.96,27.4,-2.41,3.91,-0.45,15.0,-2.42,10.6,-1.48,77
563,2832,台產,49.0,2025,72.7,-0.89,31.8,10.3,12.4,6.9,43.8,4.43,17.1,1.25,3.91,0.7,10.3,0.4,4.92,0.05,64
564,8435,鉅邁,57.9,2025,6.18,-14.3,3.19,-10.3,1.24,-16.6,51.6,2.29,20.1,-0.54,3.91,-0.77,15.4,-3.18,12.7,-2.29,77
565,6183,關貿,95.3,2025,27.5,7.77,11.9,10.8,5.86,14.8,43.4,1.18,21.3,1.29,3.9,0.5,21.1,1.9,13.0,0.39,72
