股號	股名	年份	紀念品
4903	聯光通	2025	甲魚全沛綜合營養膠囊
4903	聯光通	2025	漢堡王商品禮券100元
4906	正文	2025	修容4件組
4908	前鼎	2025	USB充電式手電筒
4909	新復興	2025	7-11商品卡35元
4912	聯德控股-KY	2025	7-11商品卡50元
4916	事欣科	2025	7-11商品卡50元
4927	泰鼎-KY	2025	可掛式擦手巾
4931	新盛力	2025	7-11商品卡50元
4934	太極	2025	7-11商品卡35元
4939	亞電	2025	全家禮物卡35元
4945	陞達	2025	艾爾柏娜洗潔劑360ml
4946	辣椒(臨)	2025	香氛片
4953	緯軟	2025	全家禮物卡50元
4956	光鋐	2025	金安德森堅紋方口玻璃碗
4960	誠美材	2025	CMMT x 灣A麻吉聯名限定森活杯
4961	天鈺	2025	宜睿好禮即享券50元
4967	十銓	2025	全家禮物卡50元
4968	立積	2025	全家禮物卡50元
4971	IET-KY	2025	7-11中杯美式或現萃茶提貨卡
4973	廣穎電通	2025	妙管家公道先生洗潔精(500g)
4974	亞泰	2025	7-11商品卡50元
4976	佳凌	2025	統一超商45元咖啡卡
4977	眾達-KY	2025	宜睿好禮即享券35元
4979	華星光	2025	7-11中杯美式或現萃茶提貨卡
4991	環宇-KY	2025	宜睿好禮即享券A版35元
4999	鑫禾	2025	廚房不鏽鋼料理剪刀
5009	榮剛	2025	滋補強身 甲魚全沛膠囊
5011	久陽(臨)	2025	滋補強身 甲魚全沛膠囊
5011	久陽	2025	滋補強身 甲魚全沛膠囊
5014	建錩	2025	全家經典中杯美式咖啡券(期限20280630)
5202	力新	2025	滋補強身 甲魚全沛膠囊
5203	訊連	2025	7-11中杯美式或現萃茶提貨卡
5210	寶碩	2025	7-11商品卡35元
5222	全訊	2025	7-11商品卡50元
5227	立凱-KY	2025	7-11商品卡50元
5230	雷笛克光學	2025	菲蘇德美燕麥潔膚皂二入
5243	乙盛-KY	2025	硅藻土杯墊
5251	天鉞電	2025	南僑水晶肥皂乙個 150克
5258	虹堡	2025	雙口袋保溫提袋
5262	立達	2025	CC-7800B充電線
5263	智崴	2025	智崴集團體驗優惠券
